band,n,q1,med,q3,iqr,lower_fence,upper_fence,n_below,n_above
不明,476,446154.0,600000.0,692308.0,246154.0,76923.0,1061538.0,2,8
築0-10年,6264,635294.0,800000.0,1085714.0,450420.0,-40336.0,1761345.0,0,266
築11-20年,5671,475000.0,600000.0,766667.0,291667.0,37500.0,1204167.0,0,163
築21-30年,3894,383333.0,475000.0,571429.0,188095.0,101190.0,853571.0,0,75
築31-40年,3342,261538.0,326316.0,400000.0,138462.0,53846.0,607692.0,0,34
築41-50年,4150,228571.0,300000.0,381818.0,153247.0,-1299.0,611688.0,0,31
築51-60年,811,151667.0,212500.0,266667.0,115000.0,-20833.0,439167.0,0,16
築61年以上,5,133333.0,151429.0,486667.0,353333.0,-396667.0,1016667.0,0,0
